generation,population size,mutation rate,generations,fitness,best path
128,1000,0.2,150,4310,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 1, 2, 3, 2, 0, 2, 2, 1, 3, 2, 1, 1, 1, 2, 0, 0, 3, 0, 2, 1, 2, 2, 2, 0, 2, 2, 0, 0, 1, 2, 2, 1, 2, 3, 1, 2, 3, 0, 0, 3, 2, 2, 0, 0, 3, 0, 0, 3, 2, 2, 2, 3, 3, 3, 2]"
129,1000,0.2,150,4310,"[0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 2, 3, 2, 0, 2, 2, 1, 3, 2, 1, 1, 1, 2, 0, 0, 3, 0, 2, 1, 1, 2, 2, 0, 2, 2, 0, 0, 1, 3, 2, 2, 2, 2, 1, 2, 3, 0, 0, 2, 2, 3, 0, 0, 3, 0, 0, 3, 2, 2, 2, 3, 3, 3, 2]"
130,1000,0.2,150,4310,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 1, 2, 3, 2, 0, 2, 1, 1, 3, 2, 1, 1, 1, 2, 0, 0, 3, 0, 2, 1, 2, 2, 2, 0, 2, 2, 0, 0, 1, 2, 2, 1, 2, 3, 1, 2, 3, 0, 0, 3, 2, 2, 0, 0, 3, 0, 0, 3, 2, 3, 2, 3, 3, 3, 2]"
131,1000,0.2,150,4310,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 1, 2, 3, 2, 0, 2, 1, 1, 3, 2, 1, 1, 1, 2, 0, 0, 3, 0, 2, 1, 2, 2, 2, 0, 2, 2, 3, 0, 1, 2, 2, 2, 2, 3, 1, 2, 3, 0, 0, 3, 2, 2, 0, 0, 3, 0, 0, 3, 2, 3, 2, 3, 3, 3, 2]"
132,1000,0.2,150,4310,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 2, 1, 2, 3, 2, 0, 2, 1, 0, 3, 2, 1, 1, 1, 2, 0, 0, 3, 0, 2, 0, 2, 2, 2, 0, 2, 2, 0, 1, 1, 2, 2, 1, 2, 3, 1, 2, 3, 0, 0, 3, 2, 2, 0, 0, 3, 0, 0, 3, 3, 3, 2, 2, 3, 3, 2]"
133,1000,0.2,150,4310,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 2, 1, 2, 3, 2, 0, 2, 1, 0, 3, 2, 1, 1, 1, 2, 0, 0, 3, 0, 2, 0, 2, 2, 2, 0, 2, 2, 0, 1, 1, 2, 2, 1, 2, 3, 1, 2, 3, 0, 0, 3, 2, 2, 0, 0, 3, 0, 0, 3, 3, 3, 2, 3, 3, 3, 2]"
134,1000,0.2,150,4310,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 2, 1, 2, 3, 2, 0, 2, 1, 0, 3, 2, 1, 1, 1, 2, 0, 0, 3, 0, 2, 0, 2, 2, 2, 0, 2, 2, 0, 1, 1, 2, 2, 1, 2, 3, 1, 2, 3, 0, 0, 3, 2, 2, 0, 0, 2, 0, 0, 3, 3, 3, 2, 3, 3, 3, 2]"
135,1000,0.2,150,4310,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 2, 1, 2, 3, 2, 0, 2, 1, 0, 3, 2, 1, 1, 1, 2, 0, 2, 3, 0, 2, 0, 2, 2, 2, 0, 2, 1, 0, 1, 0, 2, 2, 1, 2, 3, 1, 2, 3, 0, 0, 3, 2, 2, 0, 0, 3, 0, 0, 3, 3, 3, 3, 2, 3, 3, 2]"
136,1000,0.2,150,4310,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 2, 1, 2, 3, 2, 0, 2, 1, 0, 3, 2, 1, 1, 1, 2, 0, 2, 3, 0, 2, 0, 2, 2, 2, 0, 2, 1, 0, 1, 0, 2, 2, 2, 2, 3, 1, 1, 3, 0, 0, 3, 2, 2, 0, 0, 3, 0, 0, 3, 3, 3, 3, 2, 3, 3, 2]"
137,1000,0.2,150,4310,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 2, 3, 2, 3, 2, 0, 2, 1, 0, 1, 2, 1, 1, 1, 2, 0, 1, 3, 0, 2, 0, 2, 2, 2, 0, 2, 1, 0, 2, 0, 2, 2, 2, 2, 3, 1, 1, 3, 0, 0, 3, 2, 2, 0, 0, 3, 0, 0, 3, 3, 3, 3, 2, 3, 3, 2]"
